Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,9,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Observations,15
Scenario1,10,Model,Model,Missed_Refuse,UserSpecified,TallyValue,Observations,26
Scenario1,1,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,2,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,3,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,4,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,5,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,6,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,7,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,8,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,9,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,10,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,Average,1
Scenario1,1,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,HalfWidth,NaN
Scenario1,2,Model,Model,Not_Collected_Organics,UserSpecified,TallyValue,HalfWidth,NaN
